Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,%Saved,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,20,20,1717,20,1.05,91,73,0.802,11,5,4,6,30,3,2,1,0,Matches
2,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,30,30,2649,39,1.33,147,110,0.776,9,13,8,7,23.3,7,6,1,0,Matches
3,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,35,35,3150,30,0.86,126,96,0.762,14,11,10,13,37.1,2,0,1,1,Matches
4,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,37,37,3330,39,1.05,124,94,0.742,18,8,11,13,35.1,9,7,2,0,Matches
5,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,37,37,3330,36,0.97,122,89,0.73,17,12,8,12,32.4,3,3,0,0,Matches
6,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28,28,2453,22,0.81,77,57,0.727,22,3,3,13,46.4,1,1,0,0,Matches
7,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,34,34,3060,41,1.21,145,105,0.717,11,8,15,10,29.4,1,0,0,1,Matches
8,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34,34,2981,28,0.85,88,61,0.716,23,3,8,15,44.1,3,3,0,0,Matches
9,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,37,37,3330,48,1.3,155,110,0.716,15,9,13,15,40.5,5,4,1,0,Matches
10,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,37,37,3330,55,1.49,184,131,0.712,11,11,15,11,29.7,2,2,0,0,Matches
11,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,27,27,2430,34,1.26,108,76,0.694,12,5,10,7,25.9,2,1,1,0,Matches
12,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,37,37,3330,53,1.43,163,114,0.687,8,14,15,9,24.3,2,2,0,0,Matches
13,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,37,37,3330,38,1.03,117,79,0.684,15,14,8,13,35.1,3,1,2,0,Matches
14,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,24,24,2027,33,1.47,94,66,0.681,8,6,10,5,20.8,4,3,1,0,Matches
15,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,1794,35,1.76,99,67,0.677,6,3,11,4,20,3,3,0,0,Matches
16,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,36,36,3240,61,1.69,172,116,0.674,8,7,21,5,13.9,6,5,1,0,Matches
17,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,37,37,3330,61,1.65,162,107,0.667,8,10,19,9,24.3,8,7,1,0,Matches
18,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,35,35,3150,63,1.8,180,119,0.667,5,6,24,5,14.3,5,3,2,0,Matches
19,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,37,37,3330,53,1.43,139,91,0.633,13,10,14,9,24.3,3,2,0,1,Matches
20,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,47,1.42,99,55,0.545,18,4,11,8,24.2,2,2,0,0,Matches
